license_number,text_score,bbox,detection_score,cropped_image
MH 20   EE 0943,0.9999556541442871,"[208.42169189453125, 276.2633972167969, 345.0748291015625, 312.3577880859375]",0.7015976905822754,C:\Users\hp\OneDrive\Desktop\software development project\License-Plate-Detection-with-YoloV8-and-EasyOCR-main\License-Plate-Detection-with-YoloV9-and-EasyOCR-main\licenses_plates_imgs_detected\2024-12-12\78c5082a-9018-445f-82da-95fcb9d5fee5.jpg
JNU 540| COLOMBIA,0.42287967449283753,"[300.8821716308594, 308.0927734375, 419.5025939941406, 369.4128723144531]",0.7989163994789124,C:\Users\hp\OneDrive\Desktop\software development project\License-Plate-Detection-with-YoloV8-and-EasyOCR-main\License-Plate-Detection-with-YoloV9-and-EasyOCR-main\licenses_plates_imgs_detected\2024-12-12\ac0058dc-c606-478d-a701-601066548f37.jpg
